SMILES,Molecule Name,Molecular Formula,Bond Information,Functional Groups,Atom Information,Symmetry,Planarity,Molecular weight,PiPi Stacking Potential,Energetics,ESP,oxygen_balance,Heat of formation,NO2 Count,NH2 Count,H Count
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,C12H12N2O3,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 5-6 (DOUBLE), 5-7 (AROMATIC), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 10-13 (SINGLE), 4-14 (SINGLE), 14-15 (DOUBLE), 14-16 (SINGLE), 8-2 (AROMATIC), 12-7 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: N, 3: C, 4: C, 5: C, 6: O, 7: C, 8: C, 9: N, 10: C, 11: C, 12: C, 13: C, 14: C, 15: O, 16: O",Non-symmetric,Planar,232.239,464.478,No,-1.11022302462516E-16,-79.3316368051878,944,0,0,0
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,C19H16ClNO4,"0-1 (SINGLE), 1-2 (AROMATIC), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 5-6 (SINGLE), 6-7 (DOUBLE), 6-8 (SINGLE), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 11-14 (SINGLE), 4-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (AROMATIC), 17-19 (SINGLE), 19-20 (SINGLE), 2-21 (SINGLE), 21-22 (SINGLE), 22-23 (DOUBLE), 22-24 (SINGLE), 5-1 (AROMATIC), 18-3 (AROMATIC), 13-8 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: N, 6: C, 7: O, 8: C, 9: C, 10: C, 11: C, 12: C, 13: C, 14: Cl, 15: C, 16: C, 17: C, 18: C, 19: O, 20: C, 21: C, 22: C, 23: O, 24: O",Non-symmetric,Planar,357.793,1073.379,No,8.32667268468867E-16,-82.1125622916044,472,0,0,0
C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],C6H8N2O8,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 3-5 (SINGLE), 5-6 (SINGLE), 6-7 (SINGLE), 5-8 (SINGLE), 8-9 (SINGLE), 9-10 (DOUBLE), 9-11 (SINGLE), 1-12 (SINGLE), 12-13 (SINGLE), 13-14 (DOUBLE), 13-15 (SINGLE), 4-0 (SINGLE), 7-2 (SINGLE)",Alkane,"0: C, 1: C, 2: C, 3: C, 4: O, 5: C, 6: C, 7: O, 8: O, 9: N, 10: O, 11: O, 12: O, 13: N, 14: O, 15: O",Non-symmetric,Non-Planar,236.136,472.272,No,-1.80411241501588E-16,-45.793949249585,944,2,0,0
CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,CN1CCN2c3ccccc3Cc3ccccc3C2C1,C18H20N2,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 5-7 (SINGLE), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (SINGLE), 13-14 (SINGLE), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (AROMATIC), 18-19 (AROMATIC), 6-1 (SINGLE), 19-4 (SINGLE), 12-7 (AROMATIC), 19-14 (AROMATIC)","Alkane, Aromatic","0: C, 1: N, 2: C, 3: C, 4: N, 5: C, 6: C, 7: C, 8: C, 9: C, 10: C, 11: C, 12: C, 13: C, 14: C, 15: C, 16: C, 17: C, 18: C, 19: C",Non-symmetric,Non-Planar,264.372,1057.488,No,-8.32667268468867E-17,-100,944,0,0,0
CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,C15H14FN3O3,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (DOUBLE), 3-5 (SINGLE), 5-6 (AROMATIC), 6-7 (SINGLE), 7-8 (SINGLE), 8-9 (SINGLE), 9-10 (DOUBLE), 9-11 (SINGLE), 11-12 (AROMATIC), 12-13 (SINGLE), 13-14 (AROMATIC), 14-15 (AROMATIC), 12-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (AROMATIC), 18-19 (AROMATIC), 18-20 (SINGLE), 8-21 (SINGLE), 15-5 (AROMATIC), 13-6 (AROMATIC), 19-11 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: O, 3: C, 4: O, 5: C, 6: C, 7: C, 8: N, 9: C, 10: O, 11: C, 12: C, 13: N, 14: C, 15: N, 16: C, 17: C, 18: C, 19: C, 20: F, 21: C",Non-symmetric,Non-Planar,303.293,909.879,No,1.52655665885959E-16,-84.1737198023034,1416,0,0,0
CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,C24H27NO5S,"0-1 (SINGLE), 1-2 (AROMATIC), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (SINGLE), 5-6 (SINGLE), 6-7 (SINGLE), 7-8 (SINGLE), 7-9 (SINGLE), 7-10 (SINGLE), 10-11 (SINGLE), 11-12 (SINGLE), 12-13 (AROMATIC), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 15-18 (SINGLE), 18-19 (SINGLE), 19-20 (SINGLE), 20-21 (DOUBLE), 20-22 (SINGLE), 22-23 (SINGLE), 23-24 (DOUBLE), 23-25 (SINGLE), 4-26 (AROMATIC), 26-27 (AROMATIC), 27-28 (SINGLE), 26-29 (SINGLE), 2-30 (SINGLE), 27-1 (AROMATIC), 8-3 (SINGLE), 17-12 (AROMATIC), 25-19 (SINGLE)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: O, 9: C, 10: C, 11: O, 12: C, 13: C, 14: C, 15: C, 16: C, 17: C, 18: C, 19: C, 20: C, 21: O, 22: N, 23: C, 24: O, 25: S, 26: C, 27: C, 28: O, 29: C, 30: C",Non-symmetric,Non-Planar,441.549,1766.196,No,9.08995101411847E-16,-81.8819655349689,747,0,0,0
CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C18H14F4N2O4S,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (DOUBLE), 3-5 (DOUBLE), 3-6 (SINGLE), 6-7 (AROMATIC), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 9-12 (SINGLE), 1-13 (SINGLE), 13-14 (DOUBLE), 13-15 (SINGLE), 15-16 (SINGLE), 16-17 (AROMATIC), 17-18 (AROMATIC), 18-19 (AROMATIC), 19-20 (AROMATIC), 20-21 (AROMATIC), 19-22 (SINGLE), 22-23 (TRIPLE), 18-24 (SINGLE), 24-25 (SINGLE), 24-26 (SINGLE), 24-27 (SINGLE), 1-28 (SINGLE), 11-6 (AROMATIC), 21-16 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: S, 4: O, 5: O, 6: C, 7: C, 8: C, 9: C, 10: C, 11: C, 12: F, 13: C, 14: O, 15: N, 16: C, 17: C, 18: C, 19: C, 20: C, 21: C, 22: C, 23: N, 24: C, 25: F, 26: F, 27: F, 28: O",Non-symmetric,Planar,430.379,860.758,No,-2.22044604925031E-16,-85.1293859598168,1219,0,0,0
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,C15H12N2O2,"0-1 (AROMATIC), 1-2 (AROMATIC), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 3-6 (SINGLE), 6-7 (SINGLE), 7-8 (DOUBLE), 7-9 (SINGLE), 9-10 (SINGLE), 10-11 (DOUBLE), 10-12 (SINGLE), 6-13 (SINGLE), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (AROMATIC), 5-0 (AROMATIC), 12-6 (SINGLE), 18-13 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: O, 9: N, 10: C, 11: O, 12: N, 13: C, 14: C, 15: C, 16: C, 17: C, 18: C",Non-symmetric,Non-Planar,252.273,756.819,No,-3.46944695195361E-16,-87.3153290284731,944,0,0,0
